Sentiment;Review
negative;Untuk bermain biasa sih okey tapi kalau untuk turnamen nggak. Banyak peserta lomba yang mengeluh bolanya, tapi overall tempatnya sangat strategis dan pengelolanya ramah
positive;1. Untuk lapangannya. Sirkulasi udaranya sangat bagus. 2. WCnya bersih. 3. Tersedia lapangan parkir yang cukup luas. 4. Cocok untuk  pertandingan atau Basar.  Karena khusus lantai duanya untuk penonton jadi akan terlihat jelas pertandingan berlangsung.
positive;Lokasi strategis, berlantai 2 tapi lantai lapangan cukup licin
negative;Bolanya banyak tapi tidak tll bagus.. jarang juga ada air gelasnya ?? terpaksa beli diluar..
positive;Lapangan nya  bagus dan fasilitas nya tapi usahain tempat duduk nya di kasi sofa????
positive;Tempat main futsal yang selalu ramai
positive;Luar biasa . Saranya bagus kalau fokus dalam satu jalur saja kalau itu yang paling dekat.
positive;Tempat andalannya anak anak mainn, bukan mi lagi pake rumput sintetis
positive;Lapangan nya bagus dan fasilitas nya tapi usahain tempat duduk nya di kasih sofa
positive;lapangannya bagus, hanya sirkulasi udara kurang lancar karena ventilasi tertutup plastik terpal. Jika disediakan kipas mungkin ratingnya bisa jd 5 ??
negative;Lapangan kanan kurang diurus drainasenya , kalau hujan lapangan rembesan, pemain mudah terjatuh
negative;Perlu adanya perbaikan dari pihak pengelola tempat
positive;Tempatnya nyaman, punya dua lapangan, tempat parkirnya luas, tempatnya nyaman dan bersih, aman pula, mudah dilihat dari jalan, ada banyak toiletnya. maaf belum sempat memberikan foto.
positive;Lumayan lah
positive;Tempatnya nyaman kelengkapan seprti kursi,WC dll sudah tersedia
positive;mantap lapangannya dan lengkap untuk pilihan air minumnya
positive;Enak ada tempat nongkrongnya diatas.minuman bermacam macam. Kualitas rumput rada kurang, tapi lumayan lah sesuai untuk harganya
negative;Cuman masukan tolong BOLA nya di perhatikan. . pilihkan kami bola yg baik dan tak kempes..
positive;selalu memakai tempat ini untuk turnamen futsal organisasi. Kelebihannya punya area lantai 2 sehingga bisa melihat pertandingan dari atas
positive;Mantap tempatnya cuman gk ada wc yg bersib
positive;Bagus tempatnya. Terdiri dari dua lapangan,  di lengkapi fasilitas seperto kamar mandi,  dan cafe.
negative;Kamar ganti dan toilet perlu di perbaiki,selebihnya Bagus
positive;Mungkin karyawannya bisa lebih ramah lagi. Selebihnya mntapp
positive;Masih baru matrasnya mantul tapi klo bisa harga bersaing dikit dong
positive;Lapangannya bagus, ada cafe, bisa nonton siaran olah raga, parkiran memadai
positive;Lokasi strategis dan terjangkau, cukup lengkap dan nyaman, berada tepat ditengah kota
positive;Bagus utk bermain futsal tidak panas
